Date,AAPL,AMZN,GOOG,MSFT
2/14/2014,69.255623,357.350006,597.513733,33.503704
2/18/2014,69.510231,353.649994,601.527649,33.575478
2/19/2014,68.412819,347.380005,597.285217,33.656235
2/20/2014,67.620949,349.799988,598.16449,33.871582
2/21/2014,66.869812,346.76001,598.005554,34.077953
2/24/2014,67.162636,351.779999,602.337402,33.817738
2/25/2014,66.463692,358.320007,606.058167,33.683147
2/26/2014,65.864059,359.799988,606.142639,33.620342
2/27/2014,67.17791,360.130005,605.66571,33.970272
2/28/2014,66.995827,362.100006,603.897217,34.374043
3/3/2014,67.189369,359.779999,597.459106,33.898491
3/4/2014,67.632393,363.899994,603.529602,34.463764
3/5/2014,67.774994,372.369995,605.193787,34.194599
3/6/2014,67.57003,372.160004,605.864441,34.230488
3/7/2014,67.530548,372.059998,603.470032,34.006165
3/10/2014,67.591652,370.529999,601.870422,33.934383
3/11/2014,68.249847,368.820007,596.117798,34.113834
3/12/2014,68.316055,370.640015,599.749207,34.33815
3/13/2014,67.557289,371.51001,590.688171,33.997192
3/14/2014,66.798523,373.73999,582.610657,33.826717
3/17/2014,67.059509,375.040009,592.198303,34.140751
3/18/2014,67.652779,378.769989,601.716431,35.486649
3/19/2014,67.634964,373.230011,595.750244,35.235405
3/20/2014,67.309036,368.970001,594.711975,36.186508
3/21/2014,67.839905,360.619995,587.697571,36.033966
3/24/2014,68.644524,351.850006,575.223694,36.339043
3/25/2014,69.382919,354.709991,575.61615,36.195477
3/26/2014,68.719627,343.410004,562.327576,35.701988
3/27/2014,68.424263,338.470001,555.406067,35.316166
3/28/2014,68.347893,338.290009,556.927734,36.159588
3/31/2014,68.332603,336.369995,553.924255,36.778709
4/1/2014,68.957703,342.98999,564.058533,37.164524
4/2/2014,69.072289,341.959991,563.899353,37.101719
4/3/2014,68.593613,333.619995,566.62439,36.796635
4/4/2014,67.706261,323,540.169861,35.773766
4/7/2014,66.643211,317.76001,535.207153,35.710957
4/8/2014,66.639374,327.070007,551.86554,35.728909
4/9/2014,67.515274,331.809998,561.054993,36.31213
4/10/2014,66.644478,317.109985,537.991821,35.316166
4/11/2014,66.151787,311.730011,527.698425,35.181576
4/14/2014,66.415321,315.910004,529.60791,35.154655
4/15/2014,65.941719,316.079987,533.50647,35.666096
4/16/2014,66.075401,323.679993,553.496582,36.249313
4/17/2014,66.830345,324.910004,533.168335,35.89938
4/21/2014,67.623489,330.869995,525.729248,35.836575
4/22/2014,67.690956,329.320007,531.885437,35.881443
4/23/2014,66.80616,324.579987,524.058472,35.612259
4/24/2014,72.283058,337.149994,522.288208,35.764797
4/25/2014,72.813927,303.829987,513.3573,35.809658
